"ITTER107","Territorio","TIPO_DATO35","Tipo dato","REATI_PS","Tipo di delitto","RIF_TIME","Periodo del commesso delitto","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MENACE","minacce","YRDUR","durante l'anno di riferimento","2014","2014",85211,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MENACE","minacce","YRDUR","durante l'anno di riferimento","2015","2015",82539,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MENACE","minacce","YRDUR","durante l'anno di riferimento","2016","2016",75011,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MENACE","minacce","YRDUR","durante l'anno di riferimento","2017","2017",75648,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MENACE","minacce","YRDUR","durante l'anno di riferimento","2018","2018",74970,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MENACE","minacce","YRDUR","durante l'anno di riferimento","2019","2019",74726,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","KIDNAPP","sequestri di persona","YRDUR","durante l'anno di riferimento","2006","2006",1608,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","KIDNAPP","sequestri di persona","YRDUR","durante l'anno di riferimento","2007","2007",1867,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","KIDNAPP","sequestri di persona","YRDUR","durante l'anno di riferimento","2008","2008",1816,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","KIDNAPP","sequestri di persona","YRDUR","durante l'anno di riferimento","2009","2009",1481,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","KIDNAPP","sequestri di persona","YRDUR","durante l'anno di riferimento","2010","2010",1436,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","KIDNAPP","sequestri di persona","YRDUR","durante l'anno di riferimento","2011","2011",1443,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","KIDNAPP","sequestri di persona","YRDUR","durante l'anno di riferimento","2012","2012",1474,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","KIDNAPP","sequestri di persona","YRDUR","durante l'anno di riferimento","2013","2013",1353,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","KIDNAPP","sequestri di persona","YRDUR","durante l'anno di riferimento","2014","2014",1278,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","KIDNAPP","sequestri di persona","YRDUR","durante l'anno di riferimento","2015","2015",1166,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","KIDNAPP","sequestri di persona","YRDUR","durante l'anno di riferimento","2016","2016",1048,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","KIDNAPP","sequestri di persona","YRDUR","durante l'anno di riferimento","2017","2017",1039,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","KIDNAPP","sequestri di persona","YRDUR","durante l'anno di riferimento","2018","2018",960,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","KIDNAPP","sequestri di persona","YRDUR","durante l'anno di riferimento","2019","2019",855,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","OFFENCE","ingiurie","YRDUR","durante l'anno di riferimento","2006","2006",55361,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","OFFENCE","ingiurie","YRDUR","durante l'anno di riferimento","2007","2007",61737,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","OFFENCE","ingiurie","YRDUR","durante l'anno di riferimento","2008","2008",64453,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","OFFENCE","ingiurie","YRDUR","durante l'anno di riferimento","2009","2009",64479,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","OFFENCE","ingiurie","YRDUR","durante l'anno di riferimento","2010","2010",62230,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","OFFENCE","ingiurie","YRDUR","durante l'anno di riferimento","2011","2011",65370,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","OFFENCE","ingiurie","YRDUR","durante l'anno di riferimento","2012","2012",67213,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","OFFENCE","ingiurie","YRDUR","durante l'anno di riferimento","2013","2013",66414,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","OFFENCE","ingiurie","YRDUR","durante l'anno di riferimento","2014","2014",64601,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","OFFENCE","ingiurie","YRDUR","durante l'anno di riferimento","2015","2015",58620,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","OFFENCE","ingiurie","YRDUR","durante l'anno di riferimento","2016","2016",15781,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","OFFENCE","ingiurie","YRDUR","durante l'anno di riferimento","2017","2017",2064,,
